country,unit,iso_code,type,model,status,site_name,site_location,owner_long_name,latest_thermal_power,latest_gross_electr_power,original_design_net_electr_power,latest_ref_unit_power_net,construction_date,criticality_date,grid_date,commercial_date,suspended_operation_date,susp_op_end_date,permanent_shutdown_date,operator_long_name,load_factor,lifetime_electr_supplied
ARGENTINA,ATUCHA-1,AR,PHWR ,PHWR KWU,Operational,ATUCHA,Inland near a river,NUCLEOELECTRICA ARGENTINA S.A.,1179,358,319,340,1968-05-31,1974-01-13,1974-03-19,1974-06-24,,,,NUCLEOELECTRICA ARGENTINA S.A.,72.47,107.78
ARGENTINA,ATUCHA-2,AR,PHWR ,PHWR KWU,Operational,ATUCHA,Inland near a river,NUCLEOELECTRICA ARGENTINA S.A.,2160,740,692,693,1981-07-13,2014-06-03,2014-06-27,2016-05-26,,,,NUCLEOELECTRICA ARGENTINA S.A.,48.14,32.35
ARGENTINA,CAREM25,AR,PWR  ,CAREM Prototype (Integrated-PWR),Under Construction,ATUCHA-CAREM,Inland near a river,COMISION NACIONAL DE ENERGIA ATOMICA,100,29,25,25,2015-08-25,,,,,,,COMISION NACIONAL DE ENERGIA ATOMICA,,
ARGENTINA,EMBALSE,AR,PHWR ,CANDU 6,Operational,EMBALSE,Inland near a lake,NUCLEOELECTRICA ARGENTINA S.A.,2064,656,608,608,1974-03-31,1983-03-13,1983-04-25,1984-01-20,,,,NUCLEOELECTRICA ARGENTINA S.A.,73.65,160.34
ARMENIA,ARMENIAN-1,AM,PWR  ,VVER V-270,Permanent Shutdown,ARMENIA,Inland near a river,Ministry of Territorial Administration and Infrast,1375,408,376,376,1969-07-01,1976-12-15,1976-12-22,1977-10-06,,,1989-02-25,Closed Joint Stock Company Armenian NPP,64.19,
ARMENIA,ARMENIAN-2,AM,PWR  ,VVER V-270,Operational,ARMENIA,Inland near a river,Ministry of Territorial Administration and Infrast,1375,448,375,416,1975-07-01,1980-01-01,1980-01-05,1980-05-03,1989-03-18,1995-11-05,,Closed Joint Stock Company Armenian NPP,65.41,85.58
AUSTRIA,ZWENTENDORF,AT,BWR  ,,Cancelled Constr.,TULLNERFELD,Inland near a river,,2100,723,692,692,1971-05-01,,,,,,1978-12-01,GEMEINSCHAFTSKERNKRAFTWERK TULLNERFELD,,
AZERBAIJAN,AZERBAIDZHAN,AZ,PWR  ,VVER,Suspended Plan,AZERBAIDZHAN,,,3200,1000,950,950,,,,,,,,,,
BANGLADESH,ROOPPUR-1,BD,PWR  ,VVER V-523,Under Construction,ROOPPUR,Inland near a river,Bangladesh Atomic Energy Commission,3200,1200,1080,1080,2017-11-30,,,,,,,Nuclear Power Plant Company Bangladesh Limited,,
BANGLADESH,ROOPPUR-2,BD,PWR  ,VVER V-523,Under Construction,ROOPPUR,Inland near a river,Bangladesh Atomic Energy Commission,3200,1200,1080,1080,2018-07-14,,,,,,,Nuclear Power Plant Company Bangladesh Limited,,
